keys
SIM_ROUND
SIM_STEP
SIM_CALENDAR_DATE
SIM_PERIOD
SIM_ELAPSED_STEPS
COMPANY_CODE
FS_LEVEL_1
FS_LEVEL_2
FS_LEVEL_3
FS_LEVEL_4
FS_LEVEL_5
GL_ACCOUNT_NUMBER
GL_ACCOUNT_NAME
CURRENCY
GL_ACCOUNT_BALANCE
GL_ACCOUNT_BALANCE_INV
GL_ACCOUNT_BALANCE_ABS
