keys
SIM_ROUND
SIM_STEP
SIM_CALENDAR_DATE
SIM_ELAPSED_STEPS
SIM_PERIOD
MATERIAL_NUMBER
MATERIAL_DESCRIPTION
MATERIAL_TYPE
MIN_UNIT_PRICE
MAX_UNIT_PRICE
