keys
SIM_ROUND
SIM_STEP
SIM_CALENDAR_DATE
SIM_PERIOD
SIM_ELAPSED_STEPS
COMPANY_CODE
GL_ACCOUNT_NUMBER
GL_ACCOUNT_NAME
FS_LEVEL_1
FS_LEVEL_2
FS_LEVEL_3
FS_LEVEL_4
FS_LEVEL_5
DEBIT_CREDIT_INDICATOR
AMOUNT_ABS
AMOUNT
AMOUNT_INV
AMOUNT_BS
AMOUNT_IS
