keys
PLANT
STORAGE_LOCATION
MATERIAL_NUMBER
MATERIAL_DESCRIPTION
MATERIAL_TYPE
MATERIAL_SIZE
MATERIAL_LABEL
MATERIAL_CODE
CURRENT_INVENTORY
QUANTITY_SOLD
NB_STEPS_AVAILABLE
ELAPSED_STEPS
