keys
SIM_ROUND
SIM_STEP
SIM_CALENDAR_DATE
SIM_PERIOD
SIM_ELAPSED_STEPS
SALES_ORGANIZATION
STORAGE_LOCATION
REGION
AREA
CITY
COUNTRY
POSTAL_CODE
CUSTOMER_NUMBER
DISTRIBUTION_CHANNEL
MATERIAL_NUMBER
MATERIAL_DESCRIPTION
MATERIAL_TYPE
MATERIAL_CODE
MATERIAL_SIZE
MATERIAL_LABEL
NET_PRICE
NET_VALUE
QUANTITY
COST
CONTRIBUTION_MARGIN
COUNT_SALES_ORDERS
COUNT_CUSTOMERS
CONTRIBUTION_MARGIN_PCT
