keys
SIM_ROUND
SIM_STEP
SIM_DATE
SIM_CALENDAR_DATE
SIM_PERIOD
SIM_ELAPSED_STEPS
PLANT
MATERIAL_NUMBER
MATERIAL_DESCRIPTION
MATERIAL_SIZE
MATERIAL_LABEL
MATERIAL_CODE
YIELD
